iter	Passed	Remaining
0	4	444
1	8	416
2	11	365
3	13	322
4	16	309
5	20	317
6	23	316
7	26	308
8	29	301
9	33	298
10	36	298
11	39	291
12	41	280
13	45	277
14	52	295
15	55	289
16	58	286
17	62	283
18	65	278
19	68	275
20	71	268
21	74	262
22	76	257
23	78	249
24	81	245
25	84	240
26	86	234
27	89	231
28	92	227
29	96	226
30	99	221
31	102	217
32	105	214
33	108	210
34	111	207
35	114	203
36	117	199
37	120	196
38	123	193
39	126	190
40	130	188
41	131	181
42	134	178
43	136	174
44	139	170
45	142	167
46	145	163
47	147	159
48	150	156
49	153	153
50	158	152
51	161	149
52	164	145
53	166	141
54	167	137
55	170	133
56	173	131
57	175	127
58	178	124
59	183	122
60	186	119
61	189	115
62	192	112
63	194	109
64	197	106
65	200	103
66	204	100
67	207	97
68	210	94
69	212	91
70	215	87
71	218	85
72	221	81
73	224	78
74	226	75
75	229	72
76	231	69
77	234	66
78	238	63
79	241	60
80	243	57
81	246	54
82	248	50
83	251	47
84	254	44
85	257	41
86	259	38
87	262	35
88	265	32
89	268	29
90	271	26
91	273	23
92	276	20
93	279	17
94	282	14
95	285	11
96	288	8
97	290	5
98	293	2
99	296	0
